# id	name	level	title	reason
372	Bill Carlson	local	City Council Member, District 4	no-trusted-result
373	Naya Young	local	City Council Member, District 5	no-trusted-result
377	Ken Hagan	local	County Commissioner, District 2	no-trusted-result
381	Chris Boles	local	County Commissioner, District 6	no-trusted-result
382	Joshua Wostal	local	County Commissioner, District 7	no-trusted-result
387	Raquel A. Regalado	local	County Commissioner, District 7	no-trusted-result
400	Becky Troutman	local	County Commissioner, District 1	no-trusted-result
405	Katie Delaney	local	County Commissioner, District 1	no-trusted-result
407	Kim Adkinson	local	County Commissioner, District 3	no-trusted-result
408	Rob Feltner	local	County Commissioner, District 4, Chair	no-trusted-result
422	Andy Dance	local	County Commissioner, District 1	no-trusted-result
424	Leann Pennington	local	County Commissioner, District 3	no-trusted-result
425	Greg Hansen	local	County Commissioner, District 4	no-trusted-result
426	Kim Carney	local	County Commissioner, District 5	no-trusted-result
427	Rick Staly	local	Flagler County Sheriff	no-trusted-result
438	Steven Glassman	local	Commissioner, City of Fort Lauderdale, District 2	no-trusted-result
440	Christian Whitehurst	local	County Commissioner, District 1	no-trusted-result
441	Sarah Arnold	local	County Commissioner, District 2	no-trusted-result
442	Clay Murphy	local	County Commissioner, District 3 (Vice Chair)	no-trusted-result
443	Krista Joseph	local	County Commissioner, District 4 (Chair)	no-trusted-result
444	Ann Taylor	local	County Commissioner, District 5	no-trusted-result
445	Robert Hardwick	local	Sheriff, St. Johns County	no-trusted-result
446	Kevin Ruane	local	County Commissioner, District 1	no-trusted-result
447	Cecil Pendergrass	local	County Commissioner, District 2 (Chairman)	no-trusted-result
448	David Mulicka	local	County Commissioner, District 3 (Vice Chairman)	no-trusted-result
449	Brian Hamman	local	County Commissioner, District 4	no-trusted-result
450	Trish Petrosky	local	County Commissioner, District 5	no-trusted-result
451	Nicole H. Wilson	local	County Commissioner, District 1	no-trusted-result
455	Kelly Martinez Semrad	local	County Commissioner, District 5	no-trusted-result
456	Michael Scott	local	County Commissioner, District 6	dup:s3.amazonaws.com
460	Sara Baxter	local	County Commissioner, District 6	no-trusted-result
461	Bobby Powell Jr.	local	County Commissioner, District 7	no-trusted-result
470	James Reyes	local	Director, Miami-Dade Police	no-trusted-result
476	Carmine Marceno	local	Sheriff, Lee County	no-trusted-result
478	Wayne Ivey	local	Sheriff, Brevard County	no-trusted-result
480	Emery Gainey	local	Sheriff, Alachua County	no-trusted-result
481	Chip Simmons	local	Sheriff, Escambia County	no-trusted-result
482	Bob Johnson	local	Sheriff, Santa Rosa County	no-trusted-result
483	Eric Aden	local	Sheriff, Okaloosa County	no-trusted-result
484	Michael Adkinson	local	Sheriff, Walton County	no-trusted-result
485	John Tate	local	Sheriff, Washington County	no-trusted-result
486	Kevin Crews	local	Sheriff, Holmes County	no-trusted-result
487	Donnie Edenfield	local	Sheriff, Jackson County	no-trusted-result
488	Tommy Ford	local	Sheriff, Bay County	no-trusted-result
489	Mike Harrison	local	Sheriff, Gulf County	no-trusted-result
490	A.J. Smith	local	Sheriff, Franklin County	no-trusted-result
491	Bobby Schultz	local	Sheriff, Calhoun County	no-trusted-result
492	Eddie Joe White	local	Sheriff, Liberty County	no-trusted-result
