# Officials that fell through to the DiceBear fallback.
# id	name	level	title
234	Rob Long	state	State Representative, District 90
369	Alan Clendenin	local	City Council Chairman, District 1
370	Guido Maniscalco	local	City Council Member, District 2
371	Lynn Hurtak	local	City Council Member, District 3
372	Bill Carlson	local	City Council Member, District 4
373	Naya Young	local	City Council Member, District 5
374	Charlie Miranda	local	City Council Member, District 6
375	Luis Viera	local	City Council Member, District 7
376	Harry Cohen	local	County Commissioner, District 1
377	Ken Hagan	local	County Commissioner, District 2
379	Christine Miller	local	County Commissioner, District 4
380	Donna Cameron Cepeda	local	County Commissioner, District 5
381	Chris Boles	local	County Commissioner, District 6
382	Joshua Wostal	local	County Commissioner, District 7
386	Vicki L. Lopez	local	County Commissioner, District 5
387	Raquel A. Regalado	local	County Commissioner, District 7
389	Roberto J. Gonzalez	local	County Commissioner, District 11
394	Maria Sachs	local	Mayor, Palm Beach County
398	Brian Aungst Jr.	local	Mayor, City of Clearwater
399	Martha Santiago	local	County Commissioner, Chair
400	Becky Troutman	local	County Commissioner, District 1
401	Rick Wilson	local	County Commissioner, District 2
402	Bill Braswell	local	County Commissioner, District 3, Vice Chair
404	Michael Scott	local	County Commissioner, District 5
405	Katie Delaney	local	County Commissioner, District 1
407	Kim Adkinson	local	County Commissioner, District 3
408	Rob Feltner	local	County Commissioner, District 4, Chair
411	Jake Johansson	local	County Council Member, At-Large
412	Don Dempsey	local	County Council Member, District 1
413	Matt Reinhart	local	County Council Member, District 2, Vice Chair
415	Troy Kent	local	County Council Member, District 4
417	Mike Norris	local	Mayor, City of Palm Coast
418	Theresa Pontieri	local	Vice Mayor, City of Palm Coast, District 2
420	David Sullivan	local	City Council Member, District 3
422	Andy Dance	local	County Commissioner, District 1
423	Donald O'Brien	local	County Commissioner, District 2
424	Leann Pennington	local	County Commissioner, District 3
425	Greg Hansen	local	County Commissioner, District 4
426	Kim Carney	local	County Commissioner, District 5
427	Rick Staly	local	Flagler County Sheriff
428	Mark D. Bogen	local	County Commissioner, District 2 (Mayor)
429	Nan H. Rich	local	County Commissioner, District 1
430	Michael Udine	local	County Commissioner, District 3
431	Lamar P. Fisher	local	County Commissioner, District 4
432	Steve Geller	local	County Commissioner, District 5
433	Beam Furr	local	County Commissioner, District 6
434	Alexandra P. Davis	local	County Commissioner, District 7
436	Ben Sorensen	local	Vice Mayor, City of Fort Lauderdale, District 4
438	Steven Glassman	local	Commissioner, City of Fort Lauderdale, District 2
439	Pamela Beasley-Pittman	local	Commissioner, City of Fort Lauderdale, District 3
440	Christian Whitehurst	local	County Commissioner, District 1
441	Sarah Arnold	local	County Commissioner, District 2
442	Clay Murphy	local	County Commissioner, District 3 (Vice Chair)
443	Krista Joseph	local	County Commissioner, District 4 (Chair)
444	Ann Taylor	local	County Commissioner, District 5
445	Robert Hardwick	local	Sheriff, St. Johns County
446	Kevin Ruane	local	County Commissioner, District 1
447	Cecil Pendergrass	local	County Commissioner, District 2 (Chairman)
448	David Mulicka	local	County Commissioner, District 3 (Vice Chairman)
449	Brian Hamman	local	County Commissioner, District 4
450	Trish Petrosky	local	County Commissioner, District 5
451	Nicole H. Wilson	local	County Commissioner, District 1
452	Christine Moore	local	County Commissioner, District 2
453	Mayra Uribe	local	County Commissioner, District 3
454	Maribel Gomez Cordero	local	County Commissioner, District 4
455	Kelly Martinez Semrad	local	County Commissioner, District 5
456	Michael Scott	local	County Commissioner, District 6
457	Maria G. Marino	local	County Commissioner, District 1
458	Gregg K. Weiss	local	County Commissioner, District 2
459	Joel G. Flores	local	County Commissioner, District 3
460	Sara Baxter	local	County Commissioner, District 6
461	Bobby Powell Jr.	local	County Commissioner, District 7
470	James Reyes	local	Director, Miami-Dade Police
476	Carmine Marceno	local	Sheriff, Lee County
478	Wayne Ivey	local	Sheriff, Brevard County
480	Emery Gainey	local	Sheriff, Alachua County
481	Chip Simmons	local	Sheriff, Escambia County
482	Bob Johnson	local	Sheriff, Santa Rosa County
483	Eric Aden	local	Sheriff, Okaloosa County
484	Michael Adkinson	local	Sheriff, Walton County
485	John Tate	local	Sheriff, Washington County
486	Kevin Crews	local	Sheriff, Holmes County
487	Donnie Edenfield	local	Sheriff, Jackson County
488	Tommy Ford	local	Sheriff, Bay County
489	Mike Harrison	local	Sheriff, Gulf County
490	A.J. Smith	local	Sheriff, Franklin County
491	Bobby Schultz	local	Sheriff, Calhoun County
492	Eddie Joe White	local	Sheriff, Liberty County
493	Morris Young	local	Sheriff, Gadsden County
494	Walt McNeil	local	Sheriff, Leon County
495	Jared Miller	local	Sheriff, Jefferson County
496	Benjamin Stewart	local	Sheriff, Madison County
497	Wayne Padgett	local	Sheriff, Taylor County
498	Jared Miller	local	Sheriff, Wakulla County
499	Noel Stephen	local	Sheriff, Columbia County
500	Brad Whitehead	local	Sheriff, Hamilton County
501	Sam St. John	local	Sheriff, Suwannee County
503	David Harstine	local	Sheriff, Dixie County
504	Scott Harmon	local	Sheriff, Gilchrist County
505	Brad King	local	Sheriff, Baker County
506	Gordon Smith	local	Sheriff, Bradford County
507	David Shoar	local	Sheriff, Union County
508	Bill Leeper	local	Sheriff, Nassau County
509	Michelle Cook	local	Sheriff, Clay County
510	Gator DeLoach	local	Sheriff, Putnam County
511	Bobby McCallum	local	Sheriff, Levy County
513	Peyton Grinnell	local	Sheriff, Lake County
516	Eric Flowers	local	Sheriff, Indian River County
517	Richard Del Toro	local	Sheriff, St. Lucie County
518	William Snyder	local	Sheriff, Martin County
519	Jeff Blackmon	local	Sheriff, Citrus County
520	Al Nienhuis	local	Sheriff, Hernando County
521	Chris Nocco	local	Sheriff, Pasco County
522	Rick Wells	local	Sheriff, Manatee County
523	Kurt Hoffman	local	Sheriff, Sarasota County
524	Bill Prummell	local	Sheriff, Charlotte County
525	Kevin Rambosk	local	Sheriff, Collier County
526	Steve Whidden	local	Sheriff, Hendry County
528	Noel Stephen	local	Sheriff, Okeechobee County
530	Vent Crawford	local	Sheriff, DeSoto County
531	Arnold Lanier	local	Sheriff, Hardee County
532	John Budensiek	local	Sheriff, Sumter County
533	Rick Ramsay	local	Sheriff, Monroe County
534	Andria Herr	local	County Commissioner, District 5 (Chair)
535	Jay Zembower	local	County Commissioner, District 2
537	Amy Lockhart	local	County Commissioner, District 4
538	Rick LoCastro	local	County Commissioner, District 1
539	Chris Hall	local	County Commissioner, District 2
542	William McDaniel	local	County Commissioner, District 5
543	Mike Moran	local	County Commissioner, District 1
544	Neil Rainford	local	County Commissioner, District 2
545	Mark Smith	local	County Commissioner, District 3
546	Joe Barbetta	local	County Commissioner, District 4
547	Ron Cutsinger	local	County Commissioner, District 5
548	James Satcher	local	County Commissioner, District 1 (Chair)
549	Mike Rahn	local	County Commissioner, District 2
550	Kevin Van Ostenbridge	local	County Commissioner, District 3
551	George Kruse	local	County Commissioner, District 5
552	Amanda Ballard	local	County Commissioner, At Large 1
553	Jason Bearden	local	County Commissioner, At Large 2
554	Raymond Turner	local	County Commissioner, At Large 3
555	Ron Oakley	local	County Commissioner, District 1
556	Seth Weightman	local	County Commissioner, District 2
558	Gary Bradford	local	County Commissioner, District 4
559	Jack Mariano	local	County Commissioner, District 5
560	Peggy Choudhry	local	County Commissioner, District 1 (Chair)
562	Viviana Janer	local	County Commissioner, District 3
563	Cheryl Grieb	local	County Commissioner, District 4
564	Ricky Booth	local	County Commissioner, District 5
565	Doug Shields	local	County Commissioner, District 1
567	Sean Parks	local	County Commissioner, District 3 (Chair)
568	Leslie Campione	local	County Commissioner, District 4
570	Craig Curry	local	County Commissioner, District 1
571	Kathy Bryant	local	County Commissioner, District 2 (Chair)
572	Michelle Stone	local	County Commissioner, District 3
573	Carl Zalak III	local	County Commissioner, District 4
574	Buddy Irby	local	County Commissioner, District 5
575	Anthony Bonna	local	County Commissioner, District 1
576	Sean Mitchell	local	County Commissioner, District 2
577	Larry Leet	local	County Commissioner, District 3
578	Cathy Townsend	local	County Commissioner, District 4
579	Linda Bartz	local	County Commissioner, District 5 (Chair)
580	Doug Smith	local	County Commissioner, District 1
581	Stacey Hetherington	local	County Commissioner, District 2
582	Harold Jenkins	local	County Commissioner, District 3
583	Edward Ciampi	local	County Commissioner, District 4 (Chair)
584	Sarah Heard	local	County Commissioner, District 5
585	Peter O'Bryan	local	County Commissioner, District 1
586	Susan Adams	local	County Commissioner, District 2
587	Joe Earman	local	County Commissioner, District 3 (Chair)
588	Laura Moss	local	County Commissioner, District 4
589	Tim Zorc	local	County Commissioner, District 5
590	Jeff Bergosh	local	County Commissioner, District 1
591	Mike Kohler	local	County Commissioner, District 2
592	Lumon May	local	County Commissioner, District 3
593	Robert Bender	local	County Commissioner, District 4
594	Steven Barry	local	County Commissioner, District 5 (Chair)
595	Bill Proctor	local	County Commissioner, District 1
596	Jeremy Matlow	local	County Commissioner, District 3
598	David O'Keefe	local	County Commissioner, District 5
599	Rick Minor	local	County Commissioner, At Large
600	Carolyn Cummings	local	County Commissioner, At Large
601	Mike Cella	local	County Commissioner, District 1
602	Alexandra Compere	local	County Commissioner, District 2
603	James Renninger	local	County Commissioner, District 3
604	Betsy Condon	local	County Commissioner, District 4 (Chair)
605	Kristen Burke	local	County Commissioner, District 5
606	John Martin	local	County Commissioner, District 1
607	Aaron Bell	local	County Commissioner, District 2
608	Klynt Farmer	local	County Commissioner, District 3
609	Thomas Ford	local	County Commissioner, District 4 (Chair)
610	Jeff Gray	local	County Commissioner, District 5
611	Joe Tiseo	local	County Commissioner, District 1
612	Chris Constance	local	County Commissioner, District 2 (Chair)
614	Bill Truex	local	County Commissioner, District 4
615	Stephen R. Deutsch	local	County Commissioner, District 5
616	Jeff Kinnard	local	County Commissioner, District 1
617	Ron Kitchen Jr.	local	County Commissioner, District 2
618	Ruthie Davis Schlabach	local	County Commissioner, District 3 (Chair)
619	Scott Carnahan	local	County Commissioner, District 4
620	Holly Davis	local	County Commissioner, District 5
621	Steve Champion	local	County Commissioner, District 1
622	John Mitten	local	County Commissioner, District 2 (Chair)
623	Elizabeth Narverud	local	County Commissioner, District 3
624	John Allocco	local	County Commissioner, District 4
625	Brian Hawkins	local	County Commissioner, District 5
627	James Scholl	local	County Commissioner, District 2
628	Eddie Martinez	local	County Commissioner, District 3
629	David Rice	local	County Commissioner, District 4
631	Jay Zembower	local	County Commissioner, District 1
633	Chris Hall	local	County Commissioner, District 1
637	Rick LoCastro	local	County Commissioner, District 2
638	Mark Smith	local	County Commissioner, District 1
639	Joseph Neunder	local	County Commissioner, District 2
640	Neil Rainford	local	County Commissioner, District 3
641	Mike Moran	local	County Commissioner, District 4
643	James Satcher	local	County Commissioner, District 1
647	Amanda Ballard	local	County Commissioner, District 4
648	Jason Bearden	local	County Commissioner, District 6
649	Carol Whitmore	local	County Commissioner, District 7 (At-Large)
650	Ron Oakley	local	County Commissioner, District 1 (Chair)
652	Jack Mariano	local	County Commissioner, District 3
655	Peggy Choudhry	local	County Commissioner, District 1
656	Viviana Janer	local	County Commissioner, District 2
660	Joe Earman	local	County Commissioner, District 1
