# id	name	title	county
372	Bill Carlson	City Council Member, District 4	Hillsborough
373	Naya Young	City Council Member, District 5	Hillsborough
377	Ken Hagan	County Commissioner, District 2	Hillsborough
381	Chris Boles	County Commissioner, District 6	Hillsborough
382	Joshua Wostal	County Commissioner, District 7	Hillsborough
387	Raquel A. Regalado	County Commissioner, District 7	Miami-Dade
400	Becky Troutman	County Commissioner, District 1	Polk
405	Katie Delaney	County Commissioner, District 1	Brevard
407	Kim Adkinson	County Commissioner, District 3	Brevard
408	Rob Feltner	County Commissioner, District 4, Chair	Brevard
422	Andy Dance	County Commissioner, District 1	Flagler
424	Leann Pennington	County Commissioner, District 3	Flagler
425	Greg Hansen	County Commissioner, District 4	Flagler
426	Kim Carney	County Commissioner, District 5	Flagler
427	Rick Staly	Flagler County Sheriff	Flagler
438	Steven Glassman	Commissioner, City of Fort Lauderdale, District 2	Broward
440	Christian Whitehurst	County Commissioner, District 1	St. Johns
441	Sarah Arnold	County Commissioner, District 2	St. Johns
442	Clay Murphy	County Commissioner, District 3 (Vice Chair)	St. Johns
443	Krista Joseph	County Commissioner, District 4 (Chair)	St. Johns
444	Ann Taylor	County Commissioner, District 5	St. Johns
445	Robert Hardwick	Sheriff, St. Johns County	St. Johns
446	Kevin Ruane	County Commissioner, District 1	Lee
447	Cecil Pendergrass	County Commissioner, District 2 (Chairman)	Lee
448	David Mulicka	County Commissioner, District 3 (Vice Chairman)	Lee
449	Brian Hamman	County Commissioner, District 4	Lee
450	Trish Petrosky	County Commissioner, District 5	Lee
451	Nicole H. Wilson	County Commissioner, District 1	Orange
455	Kelly Martinez Semrad	County Commissioner, District 5	Orange
456	Michael Scott	County Commissioner, District 6	Orange
460	Sara Baxter	County Commissioner, District 6	Palm Beach
461	Bobby Powell Jr.	County Commissioner, District 7	Palm Beach
470	James Reyes	Director, Miami-Dade Police	Miami-Dade
476	Carmine Marceno	Sheriff, Lee County	Lee
478	Wayne Ivey	Sheriff, Brevard County	Brevard
480	Emery Gainey	Sheriff, Alachua County	Alachua
481	Chip Simmons	Sheriff, Escambia County	Escambia
482	Bob Johnson	Sheriff, Santa Rosa County	Santa Rosa
483	Eric Aden	Sheriff, Okaloosa County	Okaloosa
484	Michael Adkinson	Sheriff, Walton County	Walton
485	John Tate	Sheriff, Washington County	Washington
486	Kevin Crews	Sheriff, Holmes County	Holmes
487	Donnie Edenfield	Sheriff, Jackson County	Jackson
488	Tommy Ford	Sheriff, Bay County	Bay
489	Mike Harrison	Sheriff, Gulf County	Gulf
490	A.J. Smith	Sheriff, Franklin County	Franklin
491	Bobby Schultz	Sheriff, Calhoun County	Calhoun
492	Eddie Joe White	Sheriff, Liberty County	Liberty
493	Morris Young	Sheriff, Gadsden County	Gadsden
494	Walt McNeil	Sheriff, Leon County	Leon
495	Jared Miller	Sheriff, Jefferson County	Jefferson
496	Benjamin Stewart	Sheriff, Madison County	Jefferson
497	Wayne Padgett	Sheriff, Taylor County	Taylor
498	Jared Miller	Sheriff, Wakulla County	Wakulla
499	Noel Stephen	Sheriff, Columbia County	Columbia
500	Brad Whitehead	Sheriff, Hamilton County	Columbia
501	Sam St. John	Sheriff, Suwannee County	Suwannee
503	David Harstine	Sheriff, Dixie County	Dixie
504	Scott Harmon	Sheriff, Gilchrist County	Gilchrist
505	Brad King	Sheriff, Baker County	Baker
506	Gordon Smith	Sheriff, Bradford County	Bradford
507	David Shoar	Sheriff, Union County	Columbia
508	Bill Leeper	Sheriff, Nassau County	Nassau
509	Michelle Cook	Sheriff, Clay County	Clay
510	Gator DeLoach	Sheriff, Putnam County	Putnam
511	Bobby McCallum	Sheriff, Levy County	Alachua
513	Peyton Grinnell	Sheriff, Lake County	Lake
516	Eric Flowers	Sheriff, Indian River County	Indian River
517	Richard Del Toro	Sheriff, St. Lucie County	St. Lucie
518	William Snyder	Sheriff, Martin County	Martin
519	Jeff Blackmon	Sheriff, Citrus County	Citrus
520	Al Nienhuis	Sheriff, Hernando County	Hernando
521	Chris Nocco	Sheriff, Pasco County	Pasco
522	Rick Wells	Sheriff, Manatee County	Manatee
523	Kurt Hoffman	Sheriff, Sarasota County	Sarasota
524	Bill Prummell	Sheriff, Charlotte County	Charlotte
525	Kevin Rambosk	Sheriff, Collier County	Collier
526	Steve Whidden	Sheriff, Hendry County	Hendry
528	Noel Stephen	Sheriff, Okeechobee County	Okeechobee
530	Vent Crawford	Sheriff, DeSoto County	DeSoto
531	Arnold Lanier	Sheriff, Hardee County	Hardee
532	John Budensiek	Sheriff, Sumter County	Sumter
533	Rick Ramsay	Sheriff, Monroe County	Monroe
538	Rick LoCastro	County Commissioner, District 1	Collier
539	Chris Hall	County Commissioner, District 2	Collier
